Code,Name (日本語),Detail (日本語),Name (English),Detail (English),Name (Français),Detail (Français),Name (Korean),Detail (Korean),Name (Deutsch),Detail (Deutsch),Name (Italiano),Detail (Italiano)
11,北海道地方,,Hokkaido area,,zone Hokkaido,,홋카이도 지역 ,,Region Hokkaidō,,area di Hokkaido,
12,東北地方,,Tohoku area,,zone Tohoku,,동북 지방 ,,Region Tōhoku,,area di Tohoku,
13,北陸地方,,Hokuriku area,,zone Hokuriku,,호쿠리쿠 지방 ,,Region Hokuriku,,area di Hokuriku,
14,関東甲信地方,,Kanto koshinetsu area,,zone Kanto koshinetsu,,관동 코시네츠 지역 ,,Region Kantō-Kōshinetsu,,area di Kanto koshinesu,
15,小笠原地方,,Ogasawara area,,zone Ogasawara,,오가 사 와라 지역 ,,Region Ogasawara,,area di Ogasawara,
16,東海地方,,Tokai area,,zone Tokai,,도카이 지방 ,,Region Tōkai,,area di Tokai,
17,近畿地方,,Kinki area,,zone Kinki ,,긴키 지방 ,,Region Kinki,,area di Kinki,
18,中国地方,,Chugoku area,,zone Chugoku,,중국 지역 ,,Region Chūgoku,,area di Chugoku,
19,四国地方,,Shikoku area,,zone Shikoku,,시코쿠 지방 ,,Region Shikoku,,area di Shikoku,
20,九州地方,,Kyusyu area,,zone Kyusyu,,규슈 지방 ,,Region Kyūshū,,area di Kyusyu,
21,沖縄地方,,Okinawa area,,zone Okinawa,,오키나와 지방 ,,Region Okinawa,,area di Okinawa,
100,石狩地方北部,石狩市及び石狩郡,Northern Ishikari area,Ishikari city and Ishikari district,zone Ishikari Nord,ville et district d'Ishikari,이시카 북부 지방 ,,Nordteil der Provinz Ishikari,"Stadt, und Kreis Ishikari",area di Ishikari Nord,città e distretto d'Ishikari
101,石狩地方中部,札幌市及び江別市,Central Ishikari area,Sapporo city and Ebetsu city,zone Ishikari Centre,villes de Sapporo et Ebetsu,이시카 지역 중부 ,,Zentral der Provinz Ishikari,"Städte Sapporo, und Ebetsu",area di Ishikari Centro,città di Sapporo e Ebesu
102,石狩地方南部,千歳市、恵庭市及び北広島市,Southern Ishikari area,"Chitose city, Eniwa city, and Kitahiroshima city",zone Ishikari Sud,"villes de Chitose, Eniwa et Kitahiroshima",이시카 지방 남부 ,,Südteil der Provinz Ishikari,"Städte Chitose, Eniwa, und Kitahiroshima",area di Ishikari Sud,"città di Chitose, Eniwa e Kitahiroshima"
105,渡島地方北部,二海郡及び山越郡,Northern Oshima area,Futami district and Yamakoshi district,zone Oshima Nord,districts de Futami et Yamakoshi,오시마 북부 지방 ,,Nordteil der Provinz Bezirk,"Kreise Futami, und Yamakoshi",area di Oshima Nord,distretti di Futami e Yamakoshi
106,渡島地方東部,函館市、北斗市、亀田郡及び茅部郡,Eastern Oshima area,"Hakodate city, Hokuto city, Kameda district, and Kayabe district",zone Oshima Est,"villes de Hakodate, Hokuto, Kameda et Kayabe",오시마 지역 동부 ,,Ostteil der Provinz Oshima,"Städte Hakodate, und Hokuto, Kreise Kameda, und Kayabe",area di Oshima Est,"città di Hakodate, Hokuto, Kameda e Kayabe"
107,渡島地方西部,松前郡及び上磯郡,Western Oshima area,Matsumae district and Kamiiso district,zone Oshima Ouest,districts de Matsumae et Kamiiso,오시마 지방 서부 ,,Westteil der Provinz Oshima,"Kreise Matsumae, und Kamiiso",area di Oshima Ovest,distretti di Matsumae e Kamiiso
110,檜山地方,檜山郡、爾志郡、瀬棚郡及び久遠郡,Hiyama area,"Hiyama district, Nishi district, Setana district, and Kudo district",zone Hiyama,"districts de Hiyama, Nishi, Setana et Kudo",히야마 지역 ,,Provinz Hiyama,"Kreise Hiyama, Nishi, Sedana, und Kudo",area di Hiyama,"distretti di Hiyama, Nishi, Seana e Kudo"
115,後志地方北部,小樽市、積丹郡、古平郡及び余市郡,Northern Shribeshi area,"Otaru city, Shakotan district, Furubira district, and Yoichi district",zone Shribeshi Nord,"ville d'Otaru et districts de Shakotan, Furubira et Yoichi",시리베시 북부 지방 ,,Nordteil der Provinz Shiribeshi,"Städte Otaru, und Kreise Shakotan, Furubira und Yoichi",area di Shribeshi Nord,"città d'Otaru e distretti di Shakotan, Furubira e Yoichi"
116,後志地方東部,虻田郡（胆振地方西部の区域を除く。）,Eastern Shiribeshi area,Abuta district (except western Iburi area),zone Shiribeshi Est,district d'Abuta (exceptée la région Iburi ouest),시리베시 지역 동부 ,,Ostteil der Provinz Shiribeshi,Kreis Abuta (Außer dem Westteil der Zone Iburi),area di Shiribeshi Est,distretto d'Abuta (eccetto la région Iburi Ovest)
117,後志地方西部,島牧郡、寿都郡、磯谷郡、岩内郡及び古宇郡,Western Shiribeshi area,"Shimamaki district, Sutsu district, Isoya district, Iwanai district, and Furuu district",zone Shiribeshi Ouest,"districts de Shimamaki, Sutsu, Isoya, Iwanai et Furû",시리베시 지방 서부 ,,Westteil der Provinz Shiribeshi,"Kreise Shimamaki, Sutsu, Isoya, Iwatani, Iwanai, und Furuu",area di Shiribeshi Ovest,"distretti di Shimamaki, Sutsu, Isoya, Iwanai e Furû"
